cardholder_id,Recency,Frequency,Monetary
658_1,36,8,5350.0
659_1,36,1,770.0
660_1,35,3,2240.0
661_1,31,1,2710.0
662_1,33,2,1350.0
663_1,39,2,3070.0
664_1,42,1,850.0
665_1,39,1,200.0
666_1,46,1,450.0
667_1,31,1,2240.0
668_1,38,2,4540.0
669_1,35,1,130.0
670_1,48,1,824.0
671_1,31,2,2190.0
672_1,36,1,800.0
673_1,43,1,1933.0
674_1,37,1,1972.0
675_1,41,1,1617.0
676_1,43,1,1560.0
677_1,31,3,3380.0
678_1,41,1,1520.0
679_1,40,1,692.0
680_1,43,1,1190.0
681_1,32,2,5850.0
682_1,29,1,490.0
683_1,32,1,490.0
684_1,33,1,2057.0
685_1,47,1,920.0
686_1,32,2,3903.0
687_1,41,2,1140.0
688_1,38,1,2020.0
689_1,45,1,1530.0
690_1,35,1,770.0
691_1,39,2,2790.0
692_1,35,1,2080.0
693_1,46,1,1640.0
694_1,39,1,1050.0
695_1,30,1,1770.0
696_1,39,1,1935.0
697_1,36,1,830.0
698_1,39,1,1180.0
699_1,30,1,1257.0
700_1,42,1,1570.0
701_1,46,1,1012.0
702_1,32,1,1330.0
703_1,35,1,3950.0
704_1,36,1,880.0
705_1,32,2,1740.0
706_1,31,1,530.0
707_1,32,1,1980.0
708_1,33,2,1583.0
709_1,32,1,1826.0
710_1,33,1,780.0
711_1,45,3,3270.0
712_1,38,1,2761.0
713_1,47,1,1900.0
714_1,38,1,470.0
715_1,35,1,3230.0
716_1,45,1,1570.0
717_1,31,2,1950.0
718_1,29,1,2130.0
719_1,31,4,2080.0
720_1,47,1,1080.0
721_1,47,1,790.0
722_1,32,2,840.0
723_1,45,1,430.0
724_1,46,1,1160.0
725_1,38,4,3566.0
726_1,29,1,791.0
727_1,45,1,180.0
728_1,38,1,1880.0
729_1,42,1,670.0
730_1,35,1,1500.0
731_1,28,1,800.0
732_1,32,2,4268.0
733_1,39,3,2210.0
734_1,39,1,1870.0
735_1,46,1,2120.0
736_1,46,1,1530.0
737_1,43,1,620.0
738_1,44,1,1694.0
739_1,31,1,736.0
740_1,40,1,2460.0
741_1,41,1,1022.0
742_1,32,2,6140.0
743_1,41,1,960.0
744_1,35,1,2820.0
745_1,36,4,3530.0
746_1,31,1,1510.0
747_1,36,1,1628.0
748_1,32,1,1550.0
749_1,30,3,1050.0
750_1,38,2,1850.0
751_1,39,1,1867.0
752_1,33,1,1132.0
753_1,32,1,1900.0
754_1,32,1,2230.0
755_1,45,1,1480.0
756_1,36,1,2210.0
757_1,31,1,1551.0
758_1,32,1,1457.0
759_1,33,2,6560.0
760_1,39,1,3140.0
761_1,28,1,870.0
762_1,45,1,1520.0
763_1,38,2,3470.0
764_1,45,1,1420.0
765_1,31,1,2740.0
766_1,37,2,1990.0
767_1,36,1,1160.0
768_1,31,2,1560.0
769_1,41,1,792.0
770_1,32,1,290.0
771_1,40,1,1120.0
772_1,39,2,900.0
773_1,32,2,2410.0
774_1,44,1,190.0
775_1,34,4,1950.0
776_1,31,1,1230.0
777_1,48,1,820.0
778_1,30,1,800.0
779_1,38,1,1250.0
780_1,32,2,2460.0
781_1,41,1,450.0
782_1,47,1,750.0
783_1,46,1,2370.0
784_1,33,1,450.0
785_1,47,1,620.0
786_1,30,3,1000.0
787_1,38,1,1240.0
788_1,31,1,1210.0
789_1,36,3,4378.0
790_1,46,1,500.0
791_1,39,1,1703.0
792_1,47,1,480.0
793_1,32,2,3630.0
794_1,34,1,3160.0
795_1,28,1,660.0
796_1,42,1,2080.0
797_1,47,1,700.0
798_1,29,1,750.0
799_1,39,1,1960.0
800_1,32,1,3883.0
801_1,41,2,2744.0
802_1,44,1,1590.0
803_1,47,1,840.0
804_1,34,6,4340.0
805_1,43,1,1413.0
806_1,46,1,2130.0
807_1,32,1,670.0
808_1,40,1,869.0
809_1,45,1,1520.0
810_1,31,2,3040.0
811_1,39,1,770.0
812_1,31,1,1330.0
813_1,46,1,3200.0
814_1,35,1,736.0
815_1,33,1,540.0
816_1,30,1,1468.0
817_1,42,1,869.0
818_1,36,1,950.0
819_1,30,1,3220.0
820_1,39,1,960.0
821_1,39,1,410.0
822_1,31,1,390.0
823_1,45,2,4080.0
824_1,33,2,1380.0
825_1,38,2,2508.0
826_1,43,1,1990.0
827_1,37,5,2500.0
828_1,31,1,2400.0
829_1,36,1,1750.0
830_1,30,1,730.0
831_1,34,1,759.0
832_1,41,1,2127.0
833_1,31,2,3320.0
834_1,45,1,150.0
835_1,35,3,1791.0
836_1,46,1,1330.0
837_1,30,1,1398.0
838_1,46,1,3158.0
839_1,37,2,2300.0
840_1,46,2,2670.0
841_1,32,1,3510.0
842_1,32,2,1950.0
843_1,30,3,2504.0
844_1,34,1,630.0
845_1,32,1,770.0
846_1,32,1,3390.0
847_1,29,1,2090.0
848_1,46,1,590.0
849_1,38,1,2550.0
850_1,32,3,3830.0
851_1,35,1,600.0
852_1,44,1,1610.0
853_1,46,1,2089.0
854_1,36,3,3170.0
855_1,41,1,1820.0
856_1,32,3,3730.0
857_1,35,1,2890.0
858_1,41,1,430.0
859_1,32,1,200.0
860_1,31,3,2500.0
861_1,40,2,1210.0
862_1,32,1,480.0
863_1,29,1,880.0
864_1,32,1,780.0
865_1,46,1,1848.0
866_1,42,3,3570.0
867_1,29,2,1370.0
868_1,31,4,3800.0
869_1,46,1,930.0
870_1,31,2,5068.0
871_1,31,1,1900.0
872_1,35,2,1570.0
873_1,38,1,880.0
874_1,32,1,1977.0
875_1,43,1,2900.0
876_1,35,2,2250.0
877_1,31,1,620.0
878_1,31,1,1380.0
879_1,31,2,3186.0
880_1,40,4,3581.0
881_1,36,3,2274.0
882_1,39,1,840.0
883_1,39,1,1060.0
884_1,42,1,530.0
885_1,39,1,760.0
886_1,41,1,560.0
887_1,38,1,1480.0
888_1,40,3,4048.0
889_1,32,2,5280.0
890_1,30,1,504.0
891_1,32,2,2400.0
892_1,36,1,150.0
893_1,33,2,2590.0
894_1,33,1,823.0
895_1,34,1,1628.0
896_1,38,1,430.0
897_1,32,1,800.0
898_1,39,1,750.0
899_1,31,2,5430.0
900_1,33,2,1140.0
901_1,29,1,1122.0
902_1,31,1,1974.0
903_1,36,1,630.0
904_1,38,1,2190.0
905_1,30,2,2640.0
906_1,46,1,3840.0
907_1,33,2,1920.0
908_1,45,1,1250.0
909_1,32,1,1120.0
910_1,38,1,3154.0
911_1,42,1,1460.0
912_1,45,1,1320.0
913_1,35,1,2170.0
914_1,44,2,1930.0
915_1,28,1,180.0
916_1,36,1,390.0
917_1,38,1,1530.0
918_1,35,1,1914.0
919_1,30,2,5560.0
920_1,41,1,952.0
921_1,41,1,590.0
922_1,33,4,2160.0
923_1,41,2,2220.0
924_1,45,1,2550.0
925_1,39,1,1770.0
926_1,33,3,1740.0
927_1,45,1,1418.0
928_1,43,2,1610.0
929_1,32,1,1660.0
930_1,39,1,2580.0
931_1,42,2,3370.0
932_1,31,1,2362.0
933_1,43,1,1200.0
934_1,34,1,1181.0
935_1,33,2,2310.0
936_1,30,1,930.0
937_1,30,3,3660.0
938_1,31,1,470.0
939_1,36,1,930.0
940_1,39,1,1670.0
941_1,33,1,120.0
942_1,33,5,7993.0
943_1,33,1,420.0
944_1,32,5,3900.0
945_1,36,2,1890.0
946_1,32,3,2850.0
947_1,31,4,4033.0
948_1,39,2,2620.0
949_1,42,1,1070.0
950_1,34,1,1738.0
951_1,37,1,400.0
952_1,34,4,5500.0
953_1,30,2,3901.0
954_1,38,1,670.0
955_1,28,1,150.0
956_1,40,3,2230.0
957_1,39,1,290.0
958_1,38,1,720.0
959_1,45,1,440.0
960_1,42,1,2660.0
961_1,44,1,120.0
962_1,42,1,540.0
963_1,43,2,720.0
964_1,47,1,2980.0
965_1,39,1,3020.0
966_1,34,1,1120.0
967_1,45,1,710.0
968_1,37,2,2100.0
969_1,33,5,3971.0
970_1,41,1,645.0
971_1,32,1,979.0
972_1,41,1,1181.0
973_1,31,1,240.0
974_1,32,1,1364.0
975_1,36,3,2010.0
976_1,32,1,616.0
977_1,39,1,850.0
978_1,29,1,260.0
979_1,32,2,2070.0
980_1,32,2,3420.0
981_1,31,1,280.0
982_1,28,1,700.0
983_1,46,1,730.0
984_1,29,1,930.0
985_1,30,2,1130.0
986_1,32,1,2920.0
987_1,40,1,780.0
988_1,39,1,660.0
989_1,33,1,740.0
990_1,38,2,3090.0
991_1,39,2,990.0
992_1,31,1,1970.0
993_1,32,1,970.0
994_1,35,2,1680.0
995_1,36,1,1958.0
996_1,34,1,1067.0
997_1,38,1,200.0
998_1,46,1,420.0
999_1,41,1,140.0
1000_1,33,1,1720.0
1001_1,38,1,3540.0
1002_1,45,1,880.0
1003_1,47,2,1180.0
1004_1,39,2,5710.0
1005_1,38,1,4110.0
1006_1,43,1,500.0
1007_1,33,2,3110.0
1008_1,32,1,1980.0
1009_1,42,1,1771.0
1010_1,47,1,5280.0
1011_1,28,1,470.0
1012_1,38,2,2290.0
1013_1,39,1,2350.0
1014_1,41,1,1350.0
1015_1,37,1,1980.0
1016_1,31,1,2850.0
1017_1,43,1,792.0
1018_1,39,1,380.0
1019_1,31,1,1620.0
1020_1,31,1,3109.0
1021_1,32,2,4380.0
1022_1,36,2,360.0
1023_1,34,1,150.0
1024_1,32,1,1570.0
1025_1,31,1,3360.0
1026_1,42,1,1210.0
1027_1,31,1,4389.0
1028_1,29,1,3340.0
1029_1,35,1,2740.0
1030_1,38,1,4150.0
1031_1,34,2,3318.0
1032_1,38,1,2980.0
1033_1,31,2,4050.0
1034_1,31,1,3830.0
1035_1,31,3,6451.0
1036_1,32,3,2740.0
1037_1,38,2,1270.0
1038_1,43,1,2490.0
1039_1,43,1,280.0
1040_1,37,1,850.0
1041_1,30,2,1500.0
1042_1,32,2,870.0
1043_1,33,1,3498.0
1044_1,45,1,2220.0
1045_1,29,1,580.0
1046_1,31,1,1280.0
1047_1,38,2,2080.0
1048_1,35,3,1670.0
1049_1,32,3,2160.0
1050_1,40,1,450.0
1051_1,40,1,2100.0
1052_1,45,1,1628.0
1053_1,43,1,2580.0
1054_1,32,5,2870.0
1055_1,46,1,840.0
1056_1,45,1,680.0
1057_1,38,1,2120.0
1058_1,35,2,1710.0
1059_1,41,1,590.0
1060_1,32,1,150.0
1061_1,34,1,1890.0
1062_1,36,1,630.0
1063_1,46,1,1210.0
1064_1,47,1,1030.0
1065_1,45,1,1050.0
1066_1,38,1,1630.0
1067_1,38,1,1705.0
1068_1,44,1,700.0
1069_1,28,1,630.0
1070_1,40,1,1120.0
1071_1,39,2,1120.0
1072_1,42,2,1510.0
1073_1,34,1,480.0
1074_1,46,1,2670.0
1075_1,48,1,979.0
1076_1,39,1,3014.0
1077_1,29,1,640.0
1078_1,32,5,7390.0
1079_1,46,1,1590.0
1080_1,41,1,600.0
1081_1,41,1,3040.0
1082_1,39,1,560.0
1083_1,46,1,1800.0
1084_1,39,2,4810.0
1085_1,31,2,1300.0
1086_1,29,1,2280.0
1087_1,46,2,890.0
1088_1,31,1,220.0
1089_1,41,1,580.0
1090_1,40,1,600.0
1091_1,31,3,6390.0
1092_1,33,3,2800.0
